run,run_label,id,question,step_idx,n_steps_in_cot,cot_step,options,correct,before_pred_idx,after_pred_idx,before_pred,after_pred,before_correct,after_correct,prediction_flipped,efficacy_pct,cot_efficacy_pct,specificity_pct,original_answer_mass_shift,correct_mass_shift,total_variation,entropy_before,entropy_after,entropy_delta,before_original_prob,after_original_prob,before_correct_prob,after_correct_prob,before_probs_sum,after_probs_sum,before_A,after_A,delta_A,before_B,after_B,delta_B,before_C,after_C,delta_C,before_D,after_D,delta_D
full,Full FUR,8-257,Which of these is a hypothesis?,2,6,"Step 3:  Gravity causing objects to fall is a fundamental principle of physics, not a proposed explanation.",A): The ice caps will completely melt if global warming continues | B): The earth is round | C): The earth revolves around the sun | D): Gravity causes objects to fall,A,0,2,A,C,True,False,True,86.93399347262284,42.686880392851926,100.0,0.8010721059265554,0.8010721059265554,0.8594630596491181,0.6849389305243558,0.2679094735584771,-0.41702945696587873,0.8082846403121948,0.0072125343856394054,0.8082846403121948,0.0072125343856394054,1.0,1.0,0.8082846403121948,0.0072125343856394054,-0.8010721059265554,0.07518218457698822,0.028526128563445913,-0.04665605601354231,0.08519257605075836,0.9446556356998763,0.859463059649118,0.031340599060058594,0.019605701351038337,-0.011734897709020257
full,Full FUR,7-157,Ocean water contains,4,5,"Step 5:  Therefore, the correct answer is (B): scant amounts of sodium chloride.",A): copious amounts of seltzer | B): scant amounts of sodium chloride | C): scant amounts of carbonation | D): copious amounts of the combination of Na and Cl,D,3,1,D,B,True,False,True,79.8418698987313,27.54942820630322,100.0,0.7962083269466693,0.7962083269466693,0.7978688111523546,0.49939210213067864,0.2972649490845498,-0.20212715304612883,0.8281650346308392,0.03195670768416988,0.8281650346308392,0.03195670768416988,1.0,1.0,0.00383516535951738,0.0021746811538320573,-0.0016604842056853228,0.16307535063396153,0.9339119034778282,0.7708365528438667,0.004924449375681816,0.03195670768416988,0.027032258308488065,0.8281650346308392,0.03195670768416988,-0.7962083269466693
full,Full FUR,1702,How can we see that the coloration of fur is an inherited characteristic?,1,4,"(B) is a good clue, but it doesn't tell us how the coloration of fur is inherited.",A): puppies have soft fur | B): kittens look like their parents | C): all mammals are born with fur | D): baby rats are mostly bald,B,1,2,B,C,True,False,True,85.01974971358183,54.39515613501873,100.0,0.7908956756360075,0.7908956756360075,0.7908956756360074,0.36701826843711566,1.0945027286739426,0.7274844602368269,0.9067174500955716,0.11582177445956415,0.9067174500955716,0.11582177445956415,1.0,1.0,0.004198935213626116,0.21638361303569328,0.21218467782206718,0.9067174500955716,0.11582177445956415,-0.7908956756360075,0.07442789285652125,0.5881915469396283,0.513763654083107,0.014655721834281083,0.07960306556511426,0.06494734373083318
full,Full FUR,9-271,what system is needed for a body to get its needed supply of the gas humans breathe in?,2,7,"The digestive system is involved in breaking down food, not supplying oxygen.",A): the circulatory system | B): the digestive system | C): the school system | D): central nervous system,A,0,1,A,B,True,False,True,93.9945332104692,54.216663822838576,90.0,0.7842549292956573,0.7842549292956573,0.7962453587768232,0.4330776174708923,0.2998422422968261,-0.1332353751740662,0.8692596551727368,0.08500472587707952,0.8692596551727368,0.08500472587707952,1.0,1.0,0.8692596551727368,0.08500472587707952,-0.7842549292956573,0.11764150047165245,0.9138868592484757,0.7962453587768232,0.0006995219255195722,0.00016409771596133756,-0.0005354242095582345,0.01239932243009111,0.000944317158483451,-0.011455005271607659
full,Full FUR,7-903,The main component in dirt is,1,6,"Step 2:  We know that dirt is a mixture of various substances, including organic and inorganic materials.",A): microorganisms | B): broken stones | C): pollution | D): bacteria,B,0,1,A,B,False,True,True,78.87446103638977,40.287272657837256,95.0,0.7711610302783648,-0.7991157870768287,0.7991157870768287,0.4980703096331515,0.4009002286680259,-0.09717008096512564,0.8649964525831653,0.09383542230480049,0.0911699565514011,0.8902857436282299,1.0,1.0,0.8649964525831653,0.09383542230480049,-0.7711610302783648,0.0911699565514011,0.8902857436282299,0.7991157870768287,0.005828300219574002,0.004671790706691007,-0.0011565095128829948,0.03800529064585964,0.011207043360278656,-0.026798247285580987
full,Full FUR,1180,What is different about birth in humans and chickens?,1,7,"Step 2: Consider the options - We have four options: Mother, Fertilization, Father, and the hard shell.",A): Mother | B): Fertilization | C): Father | D): the hard shell,D,1,3,B,D,False,True,True,76.97869282526385,42.57483131881479,90.0,0.7548011556290934,-0.679306271756132,0.7548011556290934,0.4077875464487576,0.7940692540931282,0.38628170764437064,0.9014225895980286,0.1466214339689351,0.06529884253205684,0.7446051142881889,1.0,1.0,0.014570138892116826,0.08893039706626389,0.07436025817414707,0.9014225895980286,0.1466214339689351,-0.7548011556290934,0.01870842897779775,0.019843054676612126,0.0011346256988143746,0.06529884253205684,0.7446051142881889,0.679306271756132
full,Full FUR,695,Some berries may be eaten by,1,4,"- Bears are known to eat berries, and so are humans.",A): a bear or person | B): a bear or shark | C): a bear or lion | D): a bear or wolf,A,0,1,A,B,True,False,True,95.74148637112124,65.44092474230254,90.0,0.7526464246926009,0.7526464246926009,0.7526464246926008,0.7267987619068974,0.6594396361768322,-0.0673591257300652,0.7667592139290302,0.014112789236429293,0.7667592139290302,0.014112789236429293,1.0,1.0,0.7667592139290302,0.014112789236429293,-0.7526464246926009,0.0713197139228891,0.7705321936701692,0.6992124797472801,0.010937232483412204,0.020533986466132054,0.00959675398271985,0.15098383966466844,0.1948210306272694,0.04383719096260097
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,3,5,"Step 4:  Among the given options, ecru (a light beige color) is known for its ability to reflect sunlight and heat, making it a more comfortable choice for a desert environment.",A): ecru | B): red | C): black | D): navy,A,0,2,A,C,True,False,True,81.9303689606251,55.364497569687984,95.0,0.7458031916324305,0.7458031916324305,0.7458031916324304,0.6541147400285655,0.9623046914897477,0.3081899514611822,0.8009574771355454,0.05515428550311498,0.8009574771355454,0.05515428550311498,1.0,1.0,0.8009574771355454,0.05515428550311498,-0.7458031916324305,0.04518693515003928,0.10304177398917416,0.057854838839134885,0.1391855391495916,0.6719167728436474,0.5327312336940557,0.014670048564823653,0.16988716766406345,0.1552171190992398
full,Full FUR,7-49,A rabbit may enjoy,0,3,"- Rabbits are herbivores, which means they primarily eat plants.",A): meat | B): compost | C): peas | D): pebbles,C,2,0,C,A,True,False,True,96.14523204870059,66.30735511092392,85.0,0.7454557683817742,0.7454557683817742,0.7921003020607339,0.5197984092115706,0.582847969196046,0.06304955998447537,0.8721140623092651,0.12665829392749092,0.8721140623092651,0.12665829392749092,1.0,1.0,0.03381553292274475,0.8259158349834786,0.7921003020607339,0.055752385407686234,0.041119926750061986,-0.014632458657624248,0.8721140623092651,0.12665829392749092,-0.7454557683817742,0.03831801936030388,0.006305944338968435,-0.03201207502133544
full,Full FUR,7-49,A rabbit may enjoy,1,3,"- Among the options provided, peas are a type of plant that rabbits can eat.",A): meat | B): compost | C): peas | D): pebbles,C,2,0,C,A,True,False,True,92.75602429657485,69.79810831521678,95.0,0.7317405641078949,0.7317405641078949,0.7317405641078949,0.5197984092115706,1.2364783434052748,0.7166799341937042,0.8721140623092651,0.14037349820137024,0.8721140623092651,0.14037349820137024,1.0,1.0,0.03381553292274475,0.3815746605396271,0.3477591276168823,0.055752385407686234,0.3815746605396271,0.32582227513194084,0.8721140623092651,0.14037349820137024,-0.7317405641078949,0.03831801936030388,0.09647718071937561,0.05815916135907173
