run,run_label,id,question,n_steps_evaluated,n_steps_in_cot,any_flip,flip_steps,n_flip_steps,best_step_idx_by_mass_shift,best_step_mass_shift,best_step_total_variation,best_step_efficacy_pct,mean_efficacy_pct,mean_specificity_pct,before_pred,after_pred_at_best_shift,correct,before_correct,after_correct_any,options
full,Full FUR,1032,Which requires energy to move?,4,4,True,"0,2",2,2,0.4349683986486685,0.7436336277701652,74.3178759921345,77.5255437761642,96.25,C,A,A,False,True,A): weasel | B): willow | C): mango | D): poison ivy
full,Full FUR,9-1164,A cheetah that runs all day will find it has lost a lot of,4,4,False,,0,3,0.4377295363851468,0.4377295363851468,87.38536451909708,91.1369358440104,92.5,C,C,B,False,False,A): blood | B): water | C): prey | D): spots
full,Full FUR,9-1180,Mosquitoes enjoy all the people at a BBQ in the summer for what reason?,6,12,False,,0,3,0.04417440046687837,0.04417440046687836,93.70632484166201,94.742721861267,94.16666666666667,B,B,B,True,True,A): steak | B): blood | C): nice weather | D): taking food
full,Full FUR,9-149,"When the eggs hatch, the offspring are",3,6,True,1,1,1,0.5479147020932013,0.5479147020932011,95.93649790820325,96.22617194394928,98.33333333333333,C,A,C,True,True,A): killed | B): hurt | C): born | D): cold
full,Full FUR,9-163,A Mola Mola might live where?,6,6,True,"1,2,5",3,5,0.11658029841558454,0.20737310791482239,93.97102847802987,86.76541761291611,93.33333333333333,B,D,C,False,False,A): Lake Michigan | B): The Mississippi River | C): Bay of Bengal | D): Lake Eerie
full,Full FUR,9-227,The surface of the moon contains,5,5,True,"0,3,4",3,4,0.43983951423120776,0.44203005766406,93.4556133252925,88.9925586829652,96.0,C,B,C,True,True,A): dogs | B): water | C): high peaks | D): humans
full,Full FUR,9-229,A bat flew through the sky without hitting anything due to which of these?,4,4,False,,0,0,0.23843446267340718,0.23843446267340718,96.74761382060034,89.96161961005006,93.75,D,D,D,True,True,A): rainy sky to fly in | B): fast truck to drive | C): a car with gasoline | D): surfaces to reflect sound off
full,Full FUR,9-271,what system is needed for a body to get its needed supply of the gas humans breathe in?,7,7,True,2,1,2,0.7842549292956573,0.7962453587768232,93.9945332104692,93.53460747865493,92.85714285714286,A,B,A,True,True,A): the circulatory system | B): the digestive system | C): the school system | D): central nervous system
full,Full FUR,9-29,What could be a positive aspect of a tree being cut down?,8,8,True,"0,1",2,0,0.803262297205672,0.803262297205672,86.72823380943798,82.51197564467654,91.875,A,D,A,True,True,A): the plants that were under the tree will have access to more light | B): the squirrels that were in that tree will have an easier time getting to their home | C): Plants under the tree will get cooled off by the shade | D): The sun will shine brighter than before
full,Full FUR,9-298,An example of conservation is avoiding the use of,1,1,False,,0,0,-0.32444016049298535,0.3244401604929854,99.32092066276287,99.32092066276287,75.0,B,B,A,False,False,A): gasoline | B): air | C): snow | D): clothes
full,Full FUR,9-350,The salamander could eat a large amounts of what?,8,8,True,"0,1,3,5,6",5,3,0.6200553328553403,0.6574836667278772,99.61907101565039,93.50792108508405,93.125,C,B,D,False,False,A): fettuccine if left around | B): waxy leaves from certain plants | C): dead carcass meat from livestock | D): six legged winged organisms
full,Full FUR,9-368,Birds carrying away fruit helps the tree,6,6,True,"2,5",2,2,0.5928322319872428,0.6036636660472786,92.46745711008072,92.77739347782669,96.66666666666667,B,A,C,False,False,A): grow | B): fertilize | C): reproduce | D): conquer
full,Full FUR,9-409,Every evening a child can look into the night sky and see that the moon is,6,6,True,3,1,3,0.2505250358767487,0.2868599619574911,81.78864708789864,89.45274668139609,95.0,D,A,D,True,True,A): gone | B): breaking | C): falling | D): moving upwards
full,Full FUR,9-540,"If a person puts out four apples around their home on the same day, the molecules in which apple would be moving the most rapidly?",5,5,True,2,1,2,0.5145975748987434,0.5145975748987434,91.33009627811923,89.11868441757215,94.0,A,C,A,True,True,A): the apple sitting on a sunny sidewalk | B): the apple in the freezer | C): the apple sitting on the shaded stoop | D): the apple in a closet
full,Full FUR,9-655,"if the earth was a living room, what can be done to melt the glaciers?",4,4,True,"0,2",2,0,0.5980354609553316,0.5980354609553316,96.06151872426645,95.68593716999769,98.75,A,B,A,True,True,A): someone would turn up the room heater | B): someone would turn up the air conditioner | C): someone would turn up the music | D): someone would turn on the light
full,Full FUR,9-675,"A person wants to be able to have more natural power in their home. They choose to cease using a traditional electric company to source this electricity, and so decide to install",8,8,False,,0,5,0.010325490374068269,0.010325490374068293,96.38584642407857,87.48267877286295,97.5,C,C,C,True,True,A): sun grafts | B): sunlight shields | C): panels collecting sunlight | D): solar bees
full,Full FUR,9-794,As the rain forest is deforested the atmosphere will increase with,8,8,True,"4,5",2,4,0.8754633371926329,0.8754633371926329,90.40329139550015,89.199330069458,94.375,C,A,C,True,True,A): oxygen | B): nitrogen | C): carbon | D): rain
last_top1,Last-step top1,1032,Which requires energy to move?,1,4,False,,0,3,-0.2717166855459532,0.2717166855459532,69.26252217876483,69.26252217876483,100.0,C,C,A,False,False,A): weasel | B): willow | C): mango | D): poison ivy
last_top1,Last-step top1,1129,There is most likely going to be fog around:,1,5,False,,0,4,-0.02960634676297308,0.07955444668913025,88.05670317332803,88.05670317332803,95.0,C,C,A,False,False,A): a marsh | B): a tundra | C): the plains | D): a desert
last_top1,Last-step top1,1180,What is different about birth in humans and chickens?,1,7,False,,0,6,0.0016472951893246046,0.016184287104440517,99.30481676036152,99.30481676036152,85.0,B,B,D,False,False,A): Mother | B): Fertilization | C): Father | D): the hard shell
last_top1,Last-step top1,1189,What can feathers on Spheniscidae be used for?,1,4,True,3,1,3,0.502482401396201,0.502482401396201,93.9945332104692,93.9945332104692,95.0,B,A,A,False,True,A): keeping warm | B): flying | C): sleeping | D): eating
last_top1,Last-step top1,1204,Which of these situations is an example of pollutants?,1,6,False,,0,5,0.007057458924810245,0.007355139280655588,95.19328482036607,95.19328482036607,100.0,A,A,A,True,True,A): plastic bags floating in the ocean | B): mallard ducks floating on a lake | C): cottonwood seeds floating in the air | D): cirrus clouds floating in the sky
last_top1,Last-step top1,1215,A fallen leaf,1,7,False,,0,6,0.04765622196159647,0.04765622196159643,80.53824152993387,80.53824152993387,90.0,C,C,C,True,True,A): will turn into a tree | B): will become bright green | C): will begin to recycle the nutrients that made up its structure | D): is likely to continue to grow
last_top1,Last-step top1,1272,Inherited behavior is exhibited when,1,7,True,6,1,6,0.4149371063355718,0.5969547235105708,92.22834853162153,92.22834853162153,85.0,B,D,A,False,False,A): bears take a long winter sleep | B): dogs sit on command | C): seals clap for their trainers | D): rats navigate thru a maze
last_top1,Last-step top1,1309,They studied the soil by using,1,6,True,5,1,5,0.5193823917326463,0.61347579441971,91.9816498321198,91.9816498321198,95.0,A,D,D,False,True,A): plants | B): a telescope | C): roots | D): a microscope
last_top1,Last-step top1,132,What would happen when balloons heat up?,1,4,True,3,1,3,0.2657736682226291,0.26577366822262904,80.61411573567048,80.61411573567048,95.0,A,B,A,True,False,A): they get bigger | B): they get smaller | C): nothing happens | D): they fall down
last_top1,Last-step top1,1426,To grow plants require,1,6,False,,0,5,0.0035789772850436385,0.0035789772850436503,96.68346625110897,96.68346625110897,95.0,C,C,C,True,True,A): acid rain | B): pesticides | C): shafts of sunlight | D): moonbeam rays
last_top1,Last-step top1,1577,What animal eats plants?,1,12,True,11,1,11,0.8944529024437767,0.8944529024437766,97.16321835502869,97.16321835502869,100.0,B,A,B,True,False,A): eagles | B): robins | C): owls | D): leopards
last_top1,Last-step top1,1582,A tool used to identify the percent chance of a trait being passed down has at least,1,7,False,,0,6,-0.017900246425560595,0.033697165541887356,73.9134413873715,73.9134413873715,100.0,B,B,A,False,False,A): four boxes | B): eight boxes | C): two boxes | D): six boxes
last_top1,Last-step top1,1618,The chance of wildfires is increased by,1,5,False,,0,4,0.0005961813668180493,0.016065022893216638,90.40329139550015,90.40329139550015,95.0,A,A,A,True,True,A): parched foliage | B): torrential rain | C): lush foliage | D): careful fire maintenance
last_top1,Last-step top1,163,The transportation with the most mass is likely a,1,6,False,,0,5,-9.138651357615268e-05,0.1165871763605264,90.09865916361737,90.09865916361737,95.0,C,C,A,False,False,A): commercial plane | B): private plane | C): bus | D): private car
last_top1,Last-step top1,1672,Squirrels spend their fall,1,16,False,,0,15,0.12788222602385002,0.12788222602385005,71.90367075410067,71.90367075410067,100.0,C,C,C,True,True,A): looking for pretty leaves to collect | B): stockpiling rocks for fighting in the winter | C): stockpiling pecans for the frigid months | D): collecting twigs to keep warm
last_top1,Last-step top1,1674,A girl and her mom have the same,1,5,True,4,1,4,0.5873002327389379,0.587300232738938,80.38560106644474,80.38560106644474,100.0,A,C,C,False,True,A): date of birth | B): shirt | C): number of toenails | D): hair length
last_top1,Last-step top1,1702,How can we see that the coloration of fur is an inherited characteristic?,1,4,False,,0,3,-0.022447455416787387,0.02480998318959387,79.68376772484682,79.68376772484682,95.0,B,B,B,True,True,A): puppies have soft fur | B): kittens look like their parents | C): all mammals are born with fur | D): baby rats are mostly bald
last_top1,Last-step top1,1759,Thermometers,1,9,False,,0,8,-0.005030482597839447,0.005030482597839479,85.25199696757207,85.25199696757207,95.0,A,A,A,True,True,A): can help you monitor a fever | B): indicate levels of mercury in the blood | C): read exactly at 98.6 degrees | D): are used only for babies
last_top1,Last-step top1,1923,When trying to pull a rose out of the ground why do you encounter resistance?,1,8,False,,0,7,-0.12968212365499476,0.12973622407252194,96.8353413888964,96.8353413888964,90.0,B,B,A,False,False,A): roots | B): tensile strength | C): plant temperature | D): plant color
last_top1,Last-step top1,266,What is used for sensing visual things?,1,5,False,,0,4,0.16890446014815585,0.17270358688379234,98.46967109025846,98.46967109025846,95.0,D,D,D,True,True,A): nerves | B): tibia | C): nostril | D): cornea
last_top1,Last-step top1,326,December 21st through March 20 is a three month period which is an example of what?,1,8,False,,0,7,-0.029744404250057643,0.029744404250057636,94.08763934315263,94.08763934315263,100.0,C,C,C,True,True,A): A session | B): A Match | C): A Season | D): Autumn
last_top1,Last-step top1,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,1,5,True,4,1,4,0.538458029409824,0.538458029409824,83.28832317797944,83.28832317797944,95.0,A,C,A,True,False,A): ecru | B): red | C): black | D): navy
last_top1,Last-step top1,378,What explains the characteristic lunar formations?,1,8,False,,0,7,-0.24118138079319595,0.24118138079319595,86.1995467477727,86.1995467477727,90.0,B,B,B,True,True,A): remains of ancient ponds | B): many collisions that have occured | C): volcanic explosions over millions of years | D): sink holes due to the moons porous nature
last_top1,Last-step top1,508,"To improve health, what is a good strategy?",1,5,False,,0,4,0.23827600662897663,0.23827600662897663,96.52430247327771,96.52430247327771,100.0,D,D,D,True,True,A): high risk lifestyle | B): restaurant food | C): business trip | D): a spa trip
last_top1,Last-step top1,530,"When it's flying, a plane has no friction with the",1,12,False,,0,11,-0.030901106258027222,0.03090110625802718,87.03567394211096,87.03567394211096,95.0,C,C,B,False,False,A): wings | B): ground | C): air | D): clouds
last_top1,Last-step top1,591,"When looking for good soil for plants, typically what is optimal?",1,10,False,,0,9,-0.014032106220091323,0.014032106220091298,92.61314967800327,92.61314967800327,95.0,A,A,A,True,True,A): malleable and nutritious | B): dry and sandy | C): grainy and bitter | D): compact and hard
last_top1,Last-step top1,695,Some berries may be eaten by,1,4,False,,0,3,0.050319217292296714,0.050319217292296714,86.5717904293102,86.5717904293102,100.0,A,A,A,True,True,A): a bear or person | B): a bear or shark | C): a bear or lion | D): a bear or wolf
