arm,model,id,direct_correct,cot_correct,agreement,generated_steps,valid_steps,cot_words,initial_margin,hard_flip,max_soft_shift
base,Base LLaMA-3B,8-213,0,0,1,12,6,89,19.140625,1,54.72412109375
base,Base LLaMA-3B,473,1,1,1,10,5,88,59.66796875,1,48.33984375
base,Base LLaMA-3B,9-540,1,1,1,5,5,93,41.2109375,1,56.34765625
base,Base LLaMA-3B,1160,0,0,1,4,4,78,17.3828125,1,45.97320556640625
base,Base LLaMA-3B,82,0,0,1,3,3,96,17.1875,1,49.10125732421875
base,Base LLaMA-3B,35,0,0,0,5,5,102,21.2890625,1,21.875
base,Base LLaMA-3B,1780,0,0,1,6,6,101,60.888671875,1,70.428466796875
base,Base LLaMA-3B,162,1,1,1,5,4,96,90.1123046875,0,21.484375
base,Base LLaMA-3B,7-171,0,1,0,10,5,92,92.041015625,1,93.756103515625
base,Base LLaMA-3B,9-916,1,1,1,4,4,48,94.482421875,0,47.8515625
base,Base LLaMA-3B,44,0,1,0,5,5,80,43.359375,1,33.0078125
base,Base LLaMA-3B,8-367,1,1,1,8,4,67,87.7685546875,1,91.192626953125
base,Base LLaMA-3B,8-445,0,1,0,5,5,110,29.296875,1,39.16015625
base,Base LLaMA-3B,1911,1,1,1,3,3,40,98.2421875,0,34.375
base,Base LLaMA-3B,8-41,0,0,1,6,3,23,72.0703125,1,81.4697265625
base,Base LLaMA-3B,9-159,1,1,1,13,6,99,91.24755859375,1,90.73486328125
base,Base LLaMA-3B,7-424,1,1,1,5,5,75,94.71435546875,1,94.7265625
base,Base LLaMA-3B,1502,0,0,1,6,6,79,83.349609375,1,77.490234375
base,Base LLaMA-3B,8-318,1,1,1,5,4,104,69.921875,1,57.12890625
base,Base LLaMA-3B,1890,1,1,1,4,4,64,94.10400390625,1,95.4742431640625
base,Base LLaMA-3B,8-28,1,1,1,7,7,83,93.9453125,1,87.98828125
base,Base LLaMA-3B,9-566,1,1,1,10,5,81,84.08203125,0,18.75
base,Base LLaMA-3B,9-454,1,1,1,12,6,99,97.686767578125,1,78.22265625
base,Base LLaMA-3B,1387,1,1,1,5,5,105,32.12890625,1,56.11572265625
base,Base LLaMA-3B,9-436,1,1,1,7,7,107,97.08251953125,0,31.25
base,Base LLaMA-3B,1189,0,1,0,6,6,95,90.91796875,1,81.8359375
base,Base LLaMA-3B,8-478,1,1,1,4,4,46,93.1884765625,0,8.984375
base,Base LLaMA-3B,9-461,1,1,1,6,6,98,28.3203125,1,49.51171875
base,Base LLaMA-3B,664,0,0,1,12,5,89,30.2734375,1,50.86212158203125
base,Base LLaMA-3B,9-281,1,1,1,4,4,54,94.29931640625,0,8.984375
base,Base LLaMA-3B,9-1046,0,1,0,6,6,68,61.71875,1,49.0234375
base,Base LLaMA-3B,8-59,0,1,0,7,7,105,5.078125,0,8.984375
base,Base LLaMA-3B,9-550,0,0,1,7,7,99,67.1875,1,76.8798828125
base,Base LLaMA-3B,406,1,0,0,4,4,54,94.158935546875,1,77.34375
base,Base LLaMA-3B,8-464,0,0,1,8,8,101,23.046875,1,58.935546875
base,Base LLaMA-3B,9-490,0,0,1,4,4,56,42.3828125,0,6.640625
base,Base LLaMA-3B,9-520,1,0,0,6,6,110,4.6875,1,37.69530197605491
base,Base LLaMA-3B,8-43,1,1,1,5,5,69,68.45703125,1,64.35546875
base,Base LLaMA-3B,485,1,1,1,4,4,90,11.328125,0,4.296875
base,Base LLaMA-3B,7-93,1,1,1,1,1,5,70.849609375,1,79.443359375
base,Base LLaMA-3B,9-110,1,1,1,8,4,59,98.8128662109375,0,8.203125
base,Base LLaMA-3B,970,1,1,1,4,4,37,60.25390625,1,76.1685848236084
base,Base LLaMA-3B,9-983,1,1,1,6,6,107,90.0146484375,1,93.8934326171875
base,Base LLaMA-3B,7-902,1,1,1,12,6,102,98.2421875,1,98.553466796875
base,Base LLaMA-3B,1359,1,1,1,4,4,95,96.4599609375,0,14.453125
base,Base LLaMA-3B,1508,1,1,1,8,7,104,97.857666015625,0,3.515625
base,Base LLaMA-3B,147,0,0,1,5,5,76,27.9296875,1,36.03515625
base,Base LLaMA-3B,474,1,1,1,4,4,76,84.47265625,1,72.265625
base,Base LLaMA-3B,7-459,1,1,1,4,4,56,97.857666015625,0,0.0
base,Base LLaMA-3B,7-163,1,1,1,5,5,66,72.607421875,1,76.5625
base,Base LLaMA-3B,508,1,1,1,5,5,85,66.455078125,1,76.45263671875
base,Base LLaMA-3B,1674,0,1,0,5,5,108,26.7578125,1,57.0556640625
base,Base LLaMA-3B,9-440,1,1,1,9,5,95,89.0869140625,0,37.5
base,Base LLaMA-3B,7-658,0,0,1,6,4,69,46.19140625,0,28.90625
base,Base LLaMA-3B,9-877,0,0,0,5,5,96,72.216796875,1,84.64889526367188
base,Base LLaMA-3B,7-671,1,1,1,6,3,42,40.8203125,1,62.2100830078125
base,Base LLaMA-3B,9-771,1,1,1,7,7,101,91.6259765625,0,25.390625
base,Base LLaMA-3B,8-190,1,1,1,4,4,62,92.0166015625,0,42.96875
base,Base LLaMA-3B,530,0,0,1,5,5,118,89.794921875,0,28.125
base,Base LLaMA-3B,7-107,0,1,0,4,4,88,11.5234375,0,-11.328125
base,Base LLaMA-3B,8-393,1,1,1,7,7,107,98.760986328125,1,90.52734375
base,Base LLaMA-3B,948,1,1,1,5,5,95,80.810546875,0,38.671875
sft,DeepSeek-Revision SFT,7-527,0,0,1,3,3,55,79.736328125,0,38.4765625
sft,DeepSeek-Revision SFT,9-554,1,1,1,3,3,33,85.498046875,1,62.109375
sft,DeepSeek-Revision SFT,8-186,1,1,1,3,3,36,94.921875,0,16.015625
sft,DeepSeek-Revision SFT,1672,1,1,1,3,3,29,94.482421875,0,30.46875
sft,DeepSeek-Revision SFT,9-948,1,1,1,3,3,27,97.5830078125,1,94.1162109375
sft,DeepSeek-Revision SFT,9-317,1,1,1,3,3,26,93.3349609375,0,17.96875
sft,DeepSeek-Revision SFT,7-417,0,0,1,3,3,32,36.5234375,1,65.582275390625
sft,DeepSeek-Revision SFT,3,1,1,1,5,5,46,79.248046875,1,71.09375
sft,DeepSeek-Revision SFT,1787,0,0,0,4,4,36,34.27734375,1,57.769775390625
sft,DeepSeek-Revision SFT,1759,1,1,1,3,3,43,99.2919921875,0,17.578125
sft,DeepSeek-Revision SFT,28,0,1,0,3,2,38,44.7265625,0,-0.390625
sft,DeepSeek-Revision SFT,7-1128,1,1,1,3,3,30,93.5302734375,1,93.85986328125
sft,DeepSeek-Revision SFT,9-504,1,1,1,4,4,49,87.59765625,1,85.986328125
sft,DeepSeek-Revision SFT,7-1170,0,0,1,2,2,28,29.1015625,1,62.11700439453125
sft,DeepSeek-Revision SFT,8-192,1,1,1,3,3,42,87.40234375,1,90.31982421875
sft,DeepSeek-Revision SFT,1047,1,1,1,3,3,34,96.038818359375,1,96.600341796875
sft,DeepSeek-Revision SFT,7-1132,0,1,0,4,4,44,9.9609375,1,43.8385009765625
sft,DeepSeek-Revision SFT,202,1,0,0,3,3,43,79.345703125,0,-3.90625
sft,DeepSeek-Revision SFT,7-653,1,1,1,3,3,61,71.484375,1,82.9345703125
sft,DeepSeek-Revision SFT,1274,1,1,1,3,3,33,99.88327026367188,0,1.953125
sft,DeepSeek-Revision SFT,9-463,0,0,1,3,3,39,66.162109375,1,79.50439453125
sft,DeepSeek-Revision SFT,9-799,1,1,1,3,3,40,96.649169921875,0,37.890625
sft,DeepSeek-Revision SFT,1208,1,1,1,3,3,37,72.36328125,1,78.43017578125
sft,DeepSeek-Revision SFT,850,1,1,1,4,4,58,76.904296875,1,84.88006591796875
sft,DeepSeek-Revision SFT,1239,0,0,1,3,3,40,14.84375,1,46.967315673828125
sft,DeepSeek-Revision SFT,1545,1,1,1,3,3,36,99.49264526367188,1,99.57733154296875
sft,DeepSeek-Revision SFT,8-135,1,1,1,3,3,41,94.091796875,1,94.27490234375
sft,DeepSeek-Revision SFT,1554,1,1,1,3,3,45,93.06640625,1,95.03326416015625
sft,DeepSeek-Revision SFT,8-332,1,1,1,3,3,35,87.0361328125,0,13.28125
sft,DeepSeek-Revision SFT,7-891,1,0,0,2,2,26,5.859375,0,-22.0703125
sft,DeepSeek-Revision SFT,7-1197,1,1,1,3,3,35,95.69091796875,0,12.109375
sft,DeepSeek-Revision SFT,8-279,1,1,1,3,3,40,78.271484375,1,87.85343170166016
sft,DeepSeek-Revision SFT,8-466,1,1,1,4,4,59,11.1328125,1,42.523193359375
sft,DeepSeek-Revision SFT,1204,1,1,1,3,3,49,97.08251953125,1,72.265625
sft,DeepSeek-Revision SFT,9-24,1,1,1,4,4,45,87.3779296875,1,94.3145751953125
sft,DeepSeek-Revision SFT,8-165,1,1,1,5,5,51,96.56982421875,1,76.46484375
sft,DeepSeek-Revision SFT,7-664,0,1,0,3,3,67,93.1884765625,1,53.125
sft,DeepSeek-Revision SFT,9-633,1,1,1,3,3,48,99.4171142578125,0,35.9375
sft,DeepSeek-Revision SFT,8-213,1,1,1,4,4,62,67.87109375,1,78.460693359375
sft,DeepSeek-Revision SFT,473,1,1,1,3,3,32,77.099609375,1,84.1827392578125
sft,DeepSeek-Revision SFT,9-540,1,1,1,2,2,39,68.798828125,1,79.98046875
sft,DeepSeek-Revision SFT,1160,0,0,1,3,3,54,10.15625,1,46.46644592285156
sft,DeepSeek-Revision SFT,82,0,0,1,3,3,35,5.859375,1,50.146484375
sft,DeepSeek-Revision SFT,35,1,1,1,2,2,44,36.03515625,1,45.01953125
sft,DeepSeek-Revision SFT,1780,0,0,1,4,4,55,40.91796875,1,59.01947021484375
sft,DeepSeek-Revision SFT,162,1,1,1,4,4,36,95.69091796875,0,2.734375
sft,DeepSeek-Revision SFT,7-171,0,0,1,3,3,60,78.076171875,1,86.09619140625
sft,DeepSeek-Revision SFT,9-916,1,1,1,2,2,23,87.59765625,1,90.716552734375
sft,DeepSeek-Revision SFT,44,0,1,0,2,2,21,18.75,1,49.3896484375
sft,DeepSeek-Revision SFT,8-367,1,1,1,3,3,42,96.96044921875,0,2.34375
sft,DeepSeek-Revision SFT,8-445,0,1,0,4,4,63,24.0234375,1,49.1455078125
sft,DeepSeek-Revision SFT,1911,1,1,1,3,3,44,98.309326171875,0,9.765625
sft,DeepSeek-Revision SFT,8-41,1,1,1,3,3,31,12.5,1,52.728271484375
sft,DeepSeek-Revision SFT,9-159,1,1,1,2,2,32,96.429443359375,0,-1.171875
sft,DeepSeek-Revision SFT,7-424,1,1,1,3,3,42,98.7579345703125,1,98.284912109375
sft,DeepSeek-Revision SFT,1502,0,0,1,4,4,50,84.08203125,1,87.0361328125
sft,DeepSeek-Revision SFT,8-318,1,1,1,2,2,40,93.15185546875,0,19.921875
sft,DeepSeek-Revision SFT,1890,1,1,1,3,3,49,98.8128662109375,1,87.109375
sft,DeepSeek-Revision SFT,8-28,1,1,1,3,3,30,96.697998046875,0,14.0625
sft,DeepSeek-Revision SFT,9-566,1,1,1,4,4,44,98.0743408203125,1,77.34375
sft,DeepSeek-Revision SFT,9-454,1,1,1,4,4,53,98.90289306640625,1,83.3984375
sft,DeepSeek-Revision SFT,1387,0,1,0,3,3,38,0.0,1,39.63623046875
sft,DeepSeek-Revision SFT,9-436,1,1,1,3,3,32,99.4171142578125,0,1.5625
sft,DeepSeek-Revision SFT,1189,0,1,0,3,3,38,83.88671875,0,-1.953125
sft,DeepSeek-Revision SFT,8-478,1,1,1,5,5,47,96.4599609375,1,92.7490234375
sft,DeepSeek-Revision SFT,9-461,1,1,1,3,3,48,32.8125,1,61.21826171875
sft,DeepSeek-Revision SFT,664,0,0,1,3,3,42,36.328125,1,26.7578125
sft,DeepSeek-Revision SFT,9-281,1,1,1,3,3,44,95.10498046875,0,30.46875
sft,DeepSeek-Revision SFT,9-1046,0,1,0,3,3,41,41.40625,1,64.41650390625
sft,DeepSeek-Revision SFT,8-59,1,1,1,3,3,55,26.171875,1,54.4189453125
sft,DeepSeek-Revision SFT,9-550,0,0,1,3,3,43,84.7900390625,1,90.4296875
sft,DeepSeek-Revision SFT,406,1,1,1,2,2,49,73.92578125,1,72.314453125
sft,DeepSeek-Revision SFT,8-464,1,0,0,3,3,35,45.3125,1,70.9442138671875
sft,DeepSeek-Revision SFT,9-490,0,0,1,3,3,34,92.68798828125,1,94.6990966796875
sft,DeepSeek-Revision SFT,9-520,1,0,0,4,4,35,4.8828125,1,27.734375
sft,DeepSeek-Revision SFT,8-43,1,1,1,3,3,30,74.31640625,1,86.114501953125
sft,DeepSeek-Revision SFT,485,1,1,1,3,3,38,57.71484375,1,49.31640625
sft,DeepSeek-Revision SFT,7-93,1,1,1,5,5,41,91.24755859375,1,93.4173583984375
sft,DeepSeek-Revision SFT,9-110,1,1,1,2,2,33,99.951171875,0,0.390625
sft,DeepSeek-Revision SFT,970,1,1,1,4,4,59,86.865234375,1,89.17236328125
sft,DeepSeek-Revision SFT,9-983,1,1,1,3,3,41,93.5791015625,1,96.0784912109375
sft,DeepSeek-Revision SFT,7-902,1,1,1,3,3,36,99.4171142578125,0,3.125
sft,DeepSeek-Revision SFT,1359,1,1,1,3,3,48,97.344970703125,1,82.12890625
sft,DeepSeek-Revision SFT,1508,1,1,1,5,5,46,96.4599609375,0,5.46875
sft,DeepSeek-Revision SFT,147,1,0,0,4,4,57,30.6640625,1,49.560546875
sft,DeepSeek-Revision SFT,474,1,1,1,2,2,27,92.0166015625,0,41.015625
sft,DeepSeek-Revision SFT,7-459,1,1,1,3,3,31,99.89700317382812,0,0.0
sft,DeepSeek-Revision SFT,7-163,1,1,1,3,3,31,69.23828125,1,79.4281005859375
sft,DeepSeek-Revision SFT,508,1,1,1,2,2,29,85.9375,1,90.6707763671875
sft,DeepSeek-Revision SFT,1674,0,0,1,2,2,28,73.583984375,1,82.2998046875
sft,DeepSeek-Revision SFT,9-440,1,1,1,3,3,44,96.954345703125,1,88.134765625
sft,DeepSeek-Revision SFT,7-658,0,0,1,4,4,41,55.2734375,1,46.875
sft,DeepSeek-Revision SFT,9-877,0,0,1,3,3,36,92.7978515625,1,96.09062671661377
sft,DeepSeek-Revision SFT,7-671,1,1,1,2,2,31,64.55078125,0,29.296875
sft,DeepSeek-Revision SFT,9-771,1,1,1,3,3,31,97.03369140625,0,1.953125
sft,DeepSeek-Revision SFT,8-190,1,1,1,2,2,29,98.699951171875,0,0.78125
sft,DeepSeek-Revision SFT,530,0,0,1,4,4,40,93.3349609375,0,8.59375
sft,DeepSeek-Revision SFT,7-107,0,1,0,3,3,28,17.96875,1,43.1396484375
sft,DeepSeek-Revision SFT,8-393,1,1,1,2,2,35,99.51858520507812,0,4.296875
sft,DeepSeek-Revision SFT,948,1,1,1,3,3,41,96.08154296875,0,34.765625
