id,arm_base,model_base,direct_correct_base,cot_correct_base,agreement_base,generated_steps_base,valid_steps_base,cot_words_base,initial_margin_base,hard_flip_base,max_soft_shift_base,arm_sft,model_sft,direct_correct_sft,cot_correct_sft,agreement_sft,generated_steps_sft,valid_steps_sft,cot_words_sft,initial_margin_sft,hard_flip_sft,max_soft_shift_sft
1359,base,Base LLaMA-3B,1,1,1,4,4,95,96.4599609375,0,14.453125,sft,DeepSeek-Revision SFT,1,1,1,3,3,48,97.344970703125,1,82.12890625
1508,base,Base LLaMA-3B,1,1,1,8,7,104,97.857666015625,0,3.515625,sft,DeepSeek-Revision SFT,1,1,1,5,5,46,96.4599609375,0,5.46875
147,base,Base LLaMA-3B,0,0,1,5,5,76,27.9296875,1,36.03515625,sft,DeepSeek-Revision SFT,1,0,0,4,4,57,30.6640625,1,49.560546875
474,base,Base LLaMA-3B,1,1,1,4,4,76,84.47265625,1,72.265625,sft,DeepSeek-Revision SFT,1,1,1,2,2,27,92.0166015625,0,41.015625
7-459,base,Base LLaMA-3B,1,1,1,4,4,56,97.857666015625,0,0.0,sft,DeepSeek-Revision SFT,1,1,1,3,3,31,99.89700317382812,0,0.0
7-163,base,Base LLaMA-3B,1,1,1,5,5,66,72.607421875,1,76.5625,sft,DeepSeek-Revision SFT,1,1,1,3,3,31,69.23828125,1,79.4281005859375
508,base,Base LLaMA-3B,1,1,1,5,5,85,66.455078125,1,76.45263671875,sft,DeepSeek-Revision SFT,1,1,1,2,2,29,85.9375,1,90.6707763671875
1674,base,Base LLaMA-3B,0,1,0,5,5,108,26.7578125,1,57.0556640625,sft,DeepSeek-Revision SFT,0,0,1,2,2,28,73.583984375,1,82.2998046875
9-440,base,Base LLaMA-3B,1,1,1,9,5,95,89.0869140625,0,37.5,sft,DeepSeek-Revision SFT,1,1,1,3,3,44,96.954345703125,1,88.134765625
7-658,base,Base LLaMA-3B,0,0,1,6,4,69,46.19140625,0,28.90625,sft,DeepSeek-Revision SFT,0,0,1,4,4,41,55.2734375,1,46.875
9-877,base,Base LLaMA-3B,0,0,0,5,5,96,72.216796875,1,84.64889526367188,sft,DeepSeek-Revision SFT,0,0,1,3,3,36,92.7978515625,1,96.09062671661377
7-671,base,Base LLaMA-3B,1,1,1,6,3,42,40.8203125,1,62.2100830078125,sft,DeepSeek-Revision SFT,1,1,1,2,2,31,64.55078125,0,29.296875
9-771,base,Base LLaMA-3B,1,1,1,7,7,101,91.6259765625,0,25.390625,sft,DeepSeek-Revision SFT,1,1,1,3,3,31,97.03369140625,0,1.953125
8-190,base,Base LLaMA-3B,1,1,1,4,4,62,92.0166015625,0,42.96875,sft,DeepSeek-Revision SFT,1,1,1,2,2,29,98.699951171875,0,0.78125
530,base,Base LLaMA-3B,0,0,1,5,5,118,89.794921875,0,28.125,sft,DeepSeek-Revision SFT,0,0,1,4,4,40,93.3349609375,0,8.59375
7-107,base,Base LLaMA-3B,0,1,0,4,4,88,11.5234375,0,-11.328125,sft,DeepSeek-Revision SFT,0,1,0,3,3,28,17.96875,1,43.1396484375
8-393,base,Base LLaMA-3B,1,1,1,7,7,107,98.760986328125,1,90.52734375,sft,DeepSeek-Revision SFT,1,1,1,2,2,35,99.51858520507812,0,4.296875
948,base,Base LLaMA-3B,1,1,1,5,5,95,80.810546875,0,38.671875,sft,DeepSeek-Revision SFT,1,1,1,3,3,41,96.08154296875,0,34.765625
